product_id,product_name,category,subcategory,brand,cost,selling_price
P0001,Brand A Coffee 1,Food & Beverage,Coffee,Brand A,816.19,1041.6
P0002,Brand D Packaged Food 2,Food & Beverage,Packaged Food,Brand D,1482.74,1938.95
P0003,Brand D Television 3,Electronics,Television,Brand D,124.23,186.86
P0004,Brand E Men 4,Fashion,Men,Brand E,644.6,1027.06
P0005,Brand E Packaged Food 5,Food & Beverage,Packaged Food,Brand E,358.4,472.42
P0006,Brand A Laptop 6,Electronics,Laptop,Brand A,1232.66,1795.93
P0007,Brand B Coffee 7,Food & Beverage,Coffee,Brand B,673.12,888.12
P0008,Brand A Laptop 8,Electronics,Laptop,Brand A,861.51,1049.34
P0009,Brand C Accessories 9,Fashion,Accessories,Brand C,1500.49,2149.91
P0010,Brand E Microwave 10,Home Appliances,Microwave,Brand E,1450.53,1861.43
P0011,Brand E Mobile 11,Electronics,Mobile,Brand E,260.16,314.19
P0012,Brand E Audio 12,Electronics,Audio,Brand E,1200.08,1722.63
P0013,Brand C Coffee 13,Food & Beverage,Coffee,Brand C,1028.05,1218.57
P0014,Brand E Laptop 14,Electronics,Laptop,Brand E,853.26,1164.0
P0015,Brand D Coffee 15,Food & Beverage,Coffee,Brand D,1000.91,1362.51
P0016,Brand A Microwave 16,Home Appliances,Microwave,Brand A,791.72,960.58
P0017,Private Label Small Appliance 17,Home Appliances,Small Appliance,Private Label,428.75,495.76
P0018,Brand B Accessories 18,Electronics,Accessories,Brand B,1194.83,1625.24
P0019,Brand D Household 19,Food & Beverage,Household,Brand D,737.43,1103.35
P0020,Brand A Mobile 20,Electronics,Mobile,Brand A,171.19,247.32
P0021,Brand A Microwave 21,Home Appliances,Microwave,Brand A,906.87,1079.09
P0022,Brand C Kids 22,Fashion,Kids,Brand C,692.03,863.3
P0023,Brand C Footwear 23,Fashion,Footwear,Brand C,166.89,196.5
P0024,Private Label Beverages 24,Food & Beverage,Beverages,Private Label,1262.48,1556.94
P0025,Brand E Beverages 25,Food & Beverage,Beverages,Brand E,1293.23,1694.56
P0026,Brand A Television 26,Electronics,Television,Brand A,1625.66,2134.82
P0027,Brand B Audio 27,Electronics,Audio,Brand B,1046.8,1255.1
P0028,Brand E Snacks 28,Food & Beverage,Snacks,Brand E,1297.84,1690.65
P0029,Brand D Men 29,Fashion,Men,Brand D,1173.23,1367.33
P0030,Brand A Microwave 30,Home Appliances,Microwave,Brand A,894.24,1125.91
P0031,Brand A Audio 31,Electronics,Audio,Brand A,1061.88,1270.73
P0032,Brand D Household 32,Food & Beverage,Household,Brand D,630.9,868.58
P0033,Private Label Television 33,Electronics,Television,Private Label,873.32,1290.96
P0034,Brand C Mobile 34,Electronics,Mobile,Brand C,888.37,1396.45
P0035,Brand C Kids 35,Fashion,Kids,Brand C,487.89,614.63
P0036,Brand C Small Appliance 36,Home Appliances,Small Appliance,Brand C,48.69,73.2
